Source	Target	Notes
'am	or; and; question marker; or else	
'ang	but; even; also; ever; or	
'ang de	but; even; also; ever; or	
'ang mi	never	
'ba' zhig	alone, mere, sole; only | only; sole; alone; soley	
'bab	to come down (C); to fall (NC) | to come down; to fall | descend; rain; flow; fall down; move downward; slope toward	
'bab pa	descend; rain; flow; fall down; move downward; slope toward	
'babs	descend; rain; flow; fall down; move downward; slope toward	
'bad	strive; make effort; make exertion; exertion	
'bad cing	striving	
'bad med	non-striving; non-effort	
'bad med par	without striving; without making effort	
'bad na	when one strives; when he strives	
'bad pa	to strive; exertion; make effort; make exertion	
'bad pa dang bcas pa	with exertion {T}	
'bad pa med par thar par 'gyur	become liberated without making effort	
'bad pa mi mnga' bar ye shes 'jug pa	effortlessly engage wisdom; wisdom which engages effortlessly {T}	
'bad pa'i rnam pa bsgom pa	cultivate the aspect(s) of striving	
'bad par bya	will strive; will make effort	
'bad par bya'o	one should strive; you should strive	
'bad par byed do	strive; striving; make effort; making effort	
'bad par byed pa	strive; striving; make effort; making effort	
'bad rtsol rags pa	coarse striving and exertion	
'bangs	subject	
'bar	burn; blaze up; blaze; catch fire; flaming; fire	
'bar ba	burn; blaze up; blaze; catch fire; flaming; fire	
'bebs	to throw down | settle; cause to descend; fall; cast down	
'bebs pa	settle; cause to descend; fall; cast down	
'bod	to call, to summon	
'bod sgra	vocative case	
'bog	give; bestow	
'bogs	to give	
'bor	to abandon; to lose	
'bral	to be separated/free (from), deprived (of) | to be devoid of; free from; lack; separate from	
'bral ba	to be devoid of; free from; lack; separate from	
'bral ba la sgrib pa	obstructions to separation	
'bral ba med	not devoid of; not lacking; not separate from	
'bral ba'i byed rgyu	creative cause of separation	
'bral bar 'gyur ro	to be devoid of; become free from; lack; separate from	
'bral bar byed de	separate; estrange; disjoin	
'bral bar byed pa	separate; estrange; disjoin	
'bral bar mi byed pa	not lacking; not separate from; not free from	
'bras	effect; result; fruit	
'bras bu	effect; result; fruit	
'bras bu 'byin	issue forth fruit/effects {T}	
'bras bu 'byor ba	acquisition of the fruit	
'bras bu 'byung ba	give rise to an effect	
'bras bu 'dzin pa'i yon tan	qualities of apprehending the effect	
'bras bu 'phel ba	impel an effect; increase the effect	
'bras bu byang chub chen po	the fruit, great enlightenment	
'bras bu che	Great Fruit	
'bras bu che ba	"great effect; great fruit; """"Great Fruit"""" (the third and highest level of"	
'bras bu chen po	great effect; great fruit	
'bras bu chos sku	Truth Body; the fruit	
'bras bu la dmigs pa	observing the fruit	
'bras bu la gnas pa	Abider in the Fruit{N}	
'bras bu la zhugs pa	Approacher to the Fruit{N}	
'bras bu lnga	the five effects; the five fruits	
'bras bu lnga bstan pa	teach/indicate the five effects	
'bras bu ma dmigs pa	non-observation of an effect	
'bras bu ma thob	not attain the fruit; unattained fruit	
'bras bu med pa	fruitless; non-effect; no effect; without an effect	
'bras bu mngon par 'grub pa	manifestly established effect	
'bras bu myong	experience an effect	
'bras bu rnam pa bzhi'i sgrib pa	the obstructions of the four fruits/effects	
'bras bu sangs rgyas nyid mngon par 'grub pa	manifestly establish the fruit, Buddhahood	
'bras bu skye ba	production of an effect; produce an effect; resultant-birth state	
'bras bu skye ba'i snyoms 'jug	resultant-birth meditative absorption	
'bras bu thob pa'i khyad par	feature/attribute of attaining the effect {T}	
'bras bu thun mong 'dod pa yid la byed	mental contemplation desiring the concordant effect	
'bras bu yang dag par 'grub pa	thorougly established effect	
'bras bu yod pa	fruitful; existent effect; have the fruit	
'bras bu yod par	fruitfully; fruitful; not fruitless	
'bras bu'i dngos por med	does not exist as a thing which is an effect {T}	
'bras bu'i don	fruitional meaning {T}	
'bras bu'i gtan tshigs	effect reason	
'bras bu'i ngo mtshar che ba	greatly marvellous effect	
'bras bu'i sgo nas rigs khyad par bya ba	special lineage from the point of view of effect	
'bras bu'i theg pa	Effect Vehicle	
'bras chan	cooked rice; rice-pap	
'bras dus kyi snying rje	compassion at the time of the effect	
'bras gnas	Abider in the Fruit	
'bras mchog	highest fruit; highest result	
'bras mchog ldan pa	having the highest fruit	
'bras pu	effect	
'bras spungs	Dre-b#ung monastery founded in 1416 ce. west of Lhasa, relocated to	
'bras yod	fruitful; having the fruit; existent effect	
'bre pa	spread out; enveloped	
'brel	to unite with, to be associated with | join; relate; connect; become connected	
'brel ba	join; relate; connect; become connected; relation; related	
'brel ba brtag pa'i rab tu byed pa	Analysis of Relations, by Dharmakīrti (chos kyi grags pa) P. 5713, vol.	
'brel ba med pa'i don	meaningless; unrelated; non-related things	
'brel bar ma yin pa	non-connection; not joined; unconnected	
'brel pa	join; relate; connect; become connected; relation; related; relationship	
'brel pa'i dbang	power of joining; connecting power	
'brel pas sdug bsngal nyid	suffering due to connection	
'brel sgra	[connect-sound]; genitive case	
'bres	spread out; enveloped	
'bri	to write | diminish; diminishing; grow less; write; dri (the female version of the	
'bri ba	diminish; grow less; diminishment{BJ 38.1, quoting MSA}	
'bri ba la brten pa	in dependence upon diminishing	
'bri bar mi 'gyur	not become diminished; non-diminishment	
'bri dang 'phel	diminishment and increase	
'bri zhing 'phel ba	diminishment and increase	
'bring	middling	
'bring ba	middling; middle; the middle	
'bring gi 'bring	middling of the middling	
'bring gi chen po	great of the middling	
'bring gi chung ngu	small of the middling	
'bring po	the middle one; middle | middling; middle; the middle	
'bring skor gsum	the three middling cycles	
'brog pa	nomad	
'brong	wild yak	
'brong ru	horn of a wild yak	
'bros	to flee	
'bru	corn | (1) grain [of barley; corn; etc.] (2) letter	
'bru mar	oil; oil lamp	
'brug	dragon | thunder; dragon	
'brug gi sgra dbyangs	sound of thunder	
'brug yul	Bhutan	
'brum nag	smallpox	
'bud	to blow | (1) set aside; throw out (2) to blow	
'bugs	to bore | pierce	
'bul	to offer | offer; present	
'bum	hundred thousand | 100,000	
'bum phrag	100,000	
'byang	to be purified; to be cleansed	
'byangs	to be purified; to be cleansed	
'bye	to open; to divide	
'byed	to divide, to separate; to open | to separate; open; separate; differentiate{BJ}; opener{BR}	
'byed pa	to separate; open; separate; differentiate{BJ 34.4}; opener	
'byed sdud sgra	separating and connecting particles (?)	
'byi	to fall off	
'byin	to cause to come forth/out; to gouge out, to take out | issue forth; take out; remove; root out	
'byin pa	issue forth; take out; remove; root out	
'byin par 'gyur ro	issue forth; take out; remove; root out	
'byin par byed pa	issue forth; take out; remove; root out	
'byon	to arrive; to appear | come; arrive	
'byor	to adhere to | fortune; treasure; acquisitions	
'byor 'brel	yoga; relatedness	
'byor ba	fortune; treasure; acquisitions	
'byor ba'i dus	time of fortune; time of acquisition	
'byor ba'i ye shes	exalted wisdom of fortune; exalted wisdom of acquisition	
'byor dang mthun spyod ye shes	wisdom which acts in accordance with [one's] fortune ? {T}	
'byor ldan	rich	
'byor pa	wealth | fortune; treasure; acquisitions	
'byor rgyu	cause of fortune	
'byug	verb: anoint; apply a salve noun: salve; ointment	
'byung	to occur, to appear; to happen; to be born; to come out | to arise; come forth; emerge; occur; appear	 [Hopkins]: come forth; emerge; occur; appear
'byung 'gyur	arisen; arise	
'byung 'gyur ba	arisen; arise	
