# Unified Tibetan Buddhist Glossary
# Comprehensive vocabulary for ALL classical Tibetan texts
# Sources: Hopkins, Bialek, Reading texts, Philosophical texts, Vinaya, Abhidharma
# Format: Tibetan[TAB]English[TAB]Notes

# === CORE BUDDHIST CONCEPTS ===
སངས་རྒྱས	Buddha	Awakened One
བཅོམ་ལྡན་འདས	Bhagavan	Blessed One, epithet of Buddha
སྟོན་པ	Teacher	epithet of Buddha, lit. "one who shows"
སྟོན	show/teach	to demonstrate/reveal
ཆོས	dharma	teaching/phenomenon/law
དགེ་འདུན	sangha	monastic community
ཤེས་བྱ	knowable object	object of knowledge/cognizable object
ཤེས་བྱའི་གནས་ལུགས	mode of abiding of knowables	epistemological reality
ཤེས	know	to know/cognize
གནས་ལུགས	mode of abiding	way things exist/natural state
གསལ་བ	clarity	clear/bright/evident
ཕྱིར	purpose/because	for the sake of/because
དཀོན་མཆོག་གསུམ	Three Jewels	Buddha, Dharma, Sangha

# === FUNDAMENTAL DOCTRINES ===
སྟོང་པ་ཉིད	emptiness	śūnyatā
རྟེན་འབྲེལ	dependent origination	pratītyasamutpāda
བདག་མེད	selflessness	anātman
མི་རྟག་པ	impermanence	anicca
སྡུག་བསྔལ	suffering	duḥkha
མྱ་ངན་ལས་འདས་པ	nirvana	liberation

# === TWO TRUTHS DOCTRINE ===
བདེན་པ་གཉིས	two truths	fundamental Madhyamaka doctrine
ཀུན་རྫོབ་བདེན་པ	conventional truth	saṃvṛtisatya
དོན་དམ་བདེན་པ	ultimate truth	paramārthasatya
ཀུན་རྫོབ	conventional	everyday/worldly truth
དོན་དམ	ultimate	highest/absolute truth

# === PHILOSOPHICAL SCHOOLS ===
དབུ་མ	Madhyamaka	Middle Way philosophy
དབུ	head/beginning	madhya (in compounds)
མ	not/mother	negation particle
མའི	of the/genitive	genitive particle (མ + འི)
དབུ་མ་པ	Mādhyamika	follower of Middle Way
སེམས་ཙམ	Cittamatra	Mind-Only school/Yogācāra
མངོན་པ	Abhidharma	systematic doctrine
ཐེག་པ་ཆེན་པོ	Mahayana	Great Vehicle
ཐེག་པ་དམན་པ	Hinayana	Lesser Vehicle
